text,header,link
"If you're using Azure in a nonproduction environment or just trying it out, choose the Developer plan to get an initial response to your Azure technical support requests within one business day."," Trial, testing, and development ",https://azure.microsoft.com/en-in/support/plans/developer/
"When you’re running a production workload on Azure, get Azure technical support initial response times between one hour and one business day, based on case severity, with the Standard plan.", Production workloads ,https://azure.microsoft.com/en-in/support/plans/standard/
"If you need faster response times, advisory services, and high-severity incident escalation management from a collaborative management pool, choose Professional Direct (ProDirect) support.", Business-critical functions ,https://azure.microsoft.com/en-in/support/plans/prodirect/
"If you need company-wide support across Azure and other Microsoft technologies, consider enterprise support.", Comprehensive Microsoft technology support ,https://go.microsoft.com/fwlink/p/?linkid=2202775&clcid=0x4009
All Azure customers have access to billing and subscription management support. Technical support is available to customers with a support plan., Create an Azure support request ,https://go.microsoft.com/fwlink/p/?linkid=2202692&clcid=0x4009
Learn about popular topics and get answers and support from Azure experts on Twitter., Tweet us @AzureSupport ,https://go.microsoft.com/fwlink/p/?linkid=2202691&clcid=0x4009
"Ask questions, get answers, and connect with Microsoft engineers and Azure community experts.", Connect with community support ,https://azure.microsoft.com/en-in/support/community/
"Track the status of your Azure services and optimize your resources using real-time dashboards, custom recommendations, and alerts.",,
"Get a personalized dashboard and alerts about Azure service issues and planned maintenance that affect your services. If you're already using Azure, log in to ", Stay informed with Azure Service Health ,https://go.microsoft.com/fwlink/p/?linkid=2202690
"Get a personalized dashboard and alerts about Azure service issues and planned maintenance that affect your services. If you're already using Azure, log in to ", Stay informed with Azure Service Health ,https://go.microsoft.com/fwlink/p/?linkid=2202690
"Get a personalized dashboard and alerts about Azure service issues and planned maintenance that affect your services. If you're already using Azure, log in to ", Stay informed with Azure Service Health ,https://go.microsoft.com/fwlink/p/?linkid=2202690
"Collect, analyze, and act on telemetry data to maximize the performance and availability of your applications by proactively identifying problems. If you’re already an Azure customer, log in to ", Get proactive with Azure Monitor ,https://go.microsoft.com/fwlink/p/?linkid=2202774
"Collect, analyze, and act on telemetry data to maximize the performance and availability of your applications by proactively identifying problems. If you’re already an Azure customer, log in to ", Get proactive with Azure Monitor ,https://go.microsoft.com/fwlink/p/?linkid=2202774
"Receive personalized recommendations and best practices to optimize your Azure resources based on analysis of your usage. For current Azure customers, log in to ", Optimize with Azure Advisor ,https://go.microsoft.com/fwlink/p/?linkid=2202689
"Receive personalized recommendations and best practices to optimize your Azure resources based on analysis of your usage. For current Azure customers, log in to ", Optimize with Azure Advisor ,https://go.microsoft.com/fwlink/p/?linkid=2202689
"Receive personalized recommendations and best practices to optimize your Azure resources based on analysis of your usage. For current Azure customers, log in to ", Optimize with Azure Advisor ,https://go.microsoft.com/fwlink/p/?linkid=2202689
Get answers to frequently asked questions about how Azure support plans work., ,https://go.microsoft.com/fwlink/p/?linkid=2202864&clcid=0x4009
"Use Microsoft cost management features to monitor, control, and optimize your Azure investment.", ,https://go.microsoft.com/fwlink/p/?linkid=2202863&clcid=0x4009
Troubleshoot issues that you may experience when you sign up for a new account in the Azure portal., ,https://go.microsoft.com/fwlink/p/?linkid=2202862&clcid=0x4009
"Explore topics in depth through guided paths, or use individual modules to accomplish a specific task.", ,https://go.microsoft.com/fwlink/p/?linkid=2202687&clcid=0x4009
Watch short demos to learn how to use different features in the Azure portal., ,https://azure.microsoft.com/en-in/resources/videos/
"Explore getting-started guides, SDKs, tools, code samples, and documentation.", ,https://go.microsoft.com/fwlink/p/?linkid=2202861&clcid=0x4009
"If you're using Azure in a nonproduction environment or just trying it out, choose the Developer plan to get an initial response to your Azure technical support requests within one business day."," Trial, testing, and development ",https://azure.microsoft.com/en-in/support/plans/developer/
"When you’re running a production workload on Azure, get Azure technical support initial response times between one hour and one business day, based on case severity, with the Standard plan.", Production workloads ,https://azure.microsoft.com/en-in/support/plans/standard/
"If you need faster response times, advisory services, and high-severity incident escalation management from a collaborative management pool, choose Professional Direct (ProDirect) support.", Business-critical functions ,https://azure.microsoft.com/en-in/support/plans/prodirect/
"If you need company-wide support across Azure and other Microsoft technologies, consider enterprise support.", Comprehensive Microsoft technology support ,https://go.microsoft.com/fwlink/p/?linkid=2202775&clcid=0x4009
All Azure customers have access to billing and subscription management support. Technical support is available to customers with a support plan., Create an Azure support request ,https://go.microsoft.com/fwlink/p/?linkid=2202692&clcid=0x4009
Learn about popular topics and get answers and support from Azure experts on Twitter., Tweet us @AzureSupport ,https://go.microsoft.com/fwlink/p/?linkid=2202691&clcid=0x4009
"Ask questions, get answers, and connect with Microsoft engineers and Azure community experts.", Connect with community support ,https://azure.microsoft.com/en-in/support/community/
"Track the status of your Azure services and optimize your resources using real-time dashboards, custom recommendations, and alerts.",,
"Get a personalized dashboard and alerts about Azure service issues and planned maintenance that affect your services. If you're already using Azure, log in to ", Stay informed with Azure Service Health ,https://go.microsoft.com/fwlink/p/?linkid=2202690
"Get a personalized dashboard and alerts about Azure service issues and planned maintenance that affect your services. If you're already using Azure, log in to ", Stay informed with Azure Service Health ,https://go.microsoft.com/fwlink/p/?linkid=2202690
"Get a personalized dashboard and alerts about Azure service issues and planned maintenance that affect your services. If you're already using Azure, log in to ", Stay informed with Azure Service Health ,https://go.microsoft.com/fwlink/p/?linkid=2202690
"Collect, analyze, and act on telemetry data to maximize the performance and availability of your applications by proactively identifying problems. If you’re already an Azure customer, log in to ", Get proactive with Azure Monitor ,https://go.microsoft.com/fwlink/p/?linkid=2202774
"Collect, analyze, and act on telemetry data to maximize the performance and availability of your applications by proactively identifying problems. If you’re already an Azure customer, log in to ", Get proactive with Azure Monitor ,https://go.microsoft.com/fwlink/p/?linkid=2202774
"Receive personalized recommendations and best practices to optimize your Azure resources based on analysis of your usage. For current Azure customers, log in to ", Optimize with Azure Advisor ,https://go.microsoft.com/fwlink/p/?linkid=2202689
"Receive personalized recommendations and best practices to optimize your Azure resources based on analysis of your usage. For current Azure customers, log in to ", Optimize with Azure Advisor ,https://go.microsoft.com/fwlink/p/?linkid=2202689
"Receive personalized recommendations and best practices to optimize your Azure resources based on analysis of your usage. For current Azure customers, log in to ", Optimize with Azure Advisor ,https://go.microsoft.com/fwlink/p/?linkid=2202689
Get answers to frequently asked questions about how Azure support plans work., ,https://go.microsoft.com/fwlink/p/?linkid=2202864&clcid=0x4009
"Use Microsoft cost management features to monitor, control, and optimize your Azure investment.", ,https://go.microsoft.com/fwlink/p/?linkid=2202863&clcid=0x4009
Troubleshoot issues that you may experience when you sign up for a new account in the Azure portal., ,https://go.microsoft.com/fwlink/p/?linkid=2202862&clcid=0x4009
"Explore topics in depth through guided paths, or use individual modules to accomplish a specific task.", ,https://go.microsoft.com/fwlink/p/?linkid=2202687&clcid=0x4009
Watch short demos to learn how to use different features in the Azure portal., ,https://azure.microsoft.com/en-in/resources/videos/
"Explore getting-started guides, SDKs, tools, code samples, and documentation.", ,https://go.microsoft.com/fwlink/p/?linkid=2202861&clcid=0x4009
"If you're using Azure in a nonproduction environment or just trying it out, choose the Developer plan to get an initial response to your Azure technical support requests within one business day."," Trial, testing, and development ",https://azure.microsoft.com/en-in/support/plans/developer/
"When you’re running a production workload on Azure, get Azure technical support initial response times between one hour and one business day, based on case severity, with the Standard plan.", Production workloads ,https://azure.microsoft.com/en-in/support/plans/standard/
"If you need faster response times, advisory services, and high-severity incident escalation management from a collaborative management pool, choose Professional Direct (ProDirect) support.", Business-critical functions ,https://azure.microsoft.com/en-in/support/plans/prodirect/
"If you need company-wide support across Azure and other Microsoft technologies, consider enterprise support.", Comprehensive Microsoft technology support ,https://go.microsoft.com/fwlink/p/?linkid=2202775&clcid=0x4009
All Azure customers have access to billing and subscription management support. Technical support is available to customers with a support plan., Create an Azure support request ,https://go.microsoft.com/fwlink/p/?linkid=2202692&clcid=0x4009
Learn about popular topics and get answers and support from Azure experts on Twitter., Tweet us @AzureSupport ,https://go.microsoft.com/fwlink/p/?linkid=2202691&clcid=0x4009
"Ask questions, get answers, and connect with Microsoft engineers and Azure community experts.", Connect with community support ,https://azure.microsoft.com/en-in/support/community/
"Track the status of your Azure services and optimize your resources using real-time dashboards, custom recommendations, and alerts.",,
"Get a personalized dashboard and alerts about Azure service issues and planned maintenance that affect your services. If you're already using Azure, log in to ", Stay informed with Azure Service Health ,https://go.microsoft.com/fwlink/p/?linkid=2202690
"Get a personalized dashboard and alerts about Azure service issues and planned maintenance that affect your services. If you're already using Azure, log in to ", Stay informed with Azure Service Health ,https://go.microsoft.com/fwlink/p/?linkid=2202690
"Get a personalized dashboard and alerts about Azure service issues and planned maintenance that affect your services. If you're already using Azure, log in to ", Stay informed with Azure Service Health ,https://go.microsoft.com/fwlink/p/?linkid=2202690
"Collect, analyze, and act on telemetry data to maximize the performance and availability of your applications by proactively identifying problems. If you’re already an Azure customer, log in to ", Get proactive with Azure Monitor ,https://go.microsoft.com/fwlink/p/?linkid=2202774
"Collect, analyze, and act on telemetry data to maximize the performance and availability of your applications by proactively identifying problems. If you’re already an Azure customer, log in to ", Get proactive with Azure Monitor ,https://go.microsoft.com/fwlink/p/?linkid=2202774
"Receive personalized recommendations and best practices to optimize your Azure resources based on analysis of your usage. For current Azure customers, log in to ", Optimize with Azure Advisor ,https://go.microsoft.com/fwlink/p/?linkid=2202689
"Receive personalized recommendations and best practices to optimize your Azure resources based on analysis of your usage. For current Azure customers, log in to ", Optimize with Azure Advisor ,https://go.microsoft.com/fwlink/p/?linkid=2202689
"Receive personalized recommendations and best practices to optimize your Azure resources based on analysis of your usage. For current Azure customers, log in to ", Optimize with Azure Advisor ,https://go.microsoft.com/fwlink/p/?linkid=2202689
Get answers to frequently asked questions about how Azure support plans work., ,https://go.microsoft.com/fwlink/p/?linkid=2202864&clcid=0x4009
"Use Microsoft cost management features to monitor, control, and optimize your Azure investment.", ,https://go.microsoft.com/fwlink/p/?linkid=2202863&clcid=0x4009
Troubleshoot issues that you may experience when you sign up for a new account in the Azure portal., ,https://go.microsoft.com/fwlink/p/?linkid=2202862&clcid=0x4009
"Explore topics in depth through guided paths, or use individual modules to accomplish a specific task.", ,https://go.microsoft.com/fwlink/p/?linkid=2202687&clcid=0x4009
Watch short demos to learn how to use different features in the Azure portal., ,https://azure.microsoft.com/en-in/resources/videos/
"Explore getting-started guides, SDKs, tools, code samples, and documentation.", ,https://go.microsoft.com/fwlink/p/?linkid=2202861&clcid=0x4009
"If you're using Azure in a nonproduction environment or just trying it out, choose the Developer plan to get an initial response to your Azure technical support requests within one business day."," Trial, testing, and development ",https://azure.microsoft.com/en-in/support/plans/developer/
"When you’re running a production workload on Azure, get Azure technical support initial response times between one hour and one business day, based on case severity, with the Standard plan.", Production workloads ,https://azure.microsoft.com/en-in/support/plans/standard/
"If you need faster response times, advisory services, and high-severity incident escalation management from a collaborative management pool, choose Professional Direct (ProDirect) support.", Business-critical functions ,https://azure.microsoft.com/en-in/support/plans/prodirect/
"If you need company-wide support across Azure and other Microsoft technologies, consider enterprise support.", Comprehensive Microsoft technology support ,https://go.microsoft.com/fwlink/p/?linkid=2202775&clcid=0x4009
All Azure customers have access to billing and subscription management support. Technical support is available to customers with a support plan., Create an Azure support request ,https://go.microsoft.com/fwlink/p/?linkid=2202692&clcid=0x4009
Learn about popular topics and get answers and support from Azure experts on Twitter., Tweet us @AzureSupport ,https://go.microsoft.com/fwlink/p/?linkid=2202691&clcid=0x4009
"Ask questions, get answers, and connect with Microsoft engineers and Azure community experts.", Connect with community support ,https://azure.microsoft.com/en-in/support/community/
"Track the status of your Azure services and optimize your resources using real-time dashboards, custom recommendations, and alerts.",,
"Get a personalized dashboard and alerts about Azure service issues and planned maintenance that affect your services. If you're already using Azure, log in to ", Stay informed with Azure Service Health ,https://go.microsoft.com/fwlink/p/?linkid=2202690
"Get a personalized dashboard and alerts about Azure service issues and planned maintenance that affect your services. If you're already using Azure, log in to ", Stay informed with Azure Service Health ,https://go.microsoft.com/fwlink/p/?linkid=2202690
"Get a personalized dashboard and alerts about Azure service issues and planned maintenance that affect your services. If you're already using Azure, log in to ", Stay informed with Azure Service Health ,https://go.microsoft.com/fwlink/p/?linkid=2202690
"Collect, analyze, and act on telemetry data to maximize the performance and availability of your applications by proactively identifying problems. If you’re already an Azure customer, log in to ", Get proactive with Azure Monitor ,https://go.microsoft.com/fwlink/p/?linkid=2202774
"Collect, analyze, and act on telemetry data to maximize the performance and availability of your applications by proactively identifying problems. If you’re already an Azure customer, log in to ", Get proactive with Azure Monitor ,https://go.microsoft.com/fwlink/p/?linkid=2202774
"Receive personalized recommendations and best practices to optimize your Azure resources based on analysis of your usage. For current Azure customers, log in to ", Optimize with Azure Advisor ,https://go.microsoft.com/fwlink/p/?linkid=2202689
"Receive personalized recommendations and best practices to optimize your Azure resources based on analysis of your usage. For current Azure customers, log in to ", Optimize with Azure Advisor ,https://go.microsoft.com/fwlink/p/?linkid=2202689
"Receive personalized recommendations and best practices to optimize your Azure resources based on analysis of your usage. For current Azure customers, log in to ", Optimize with Azure Advisor ,https://go.microsoft.com/fwlink/p/?linkid=2202689
Get answers to frequently asked questions about how Azure support plans work., ,https://go.microsoft.com/fwlink/p/?linkid=2202864&clcid=0x4009
"Use Microsoft cost management features to monitor, control, and optimize your Azure investment.", ,https://go.microsoft.com/fwlink/p/?linkid=2202863&clcid=0x4009
Troubleshoot issues that you may experience when you sign up for a new account in the Azure portal., ,https://go.microsoft.com/fwlink/p/?linkid=2202862&clcid=0x4009
"Explore topics in depth through guided paths, or use individual modules to accomplish a specific task.", ,https://go.microsoft.com/fwlink/p/?linkid=2202687&clcid=0x4009
Watch short demos to learn how to use different features in the Azure portal., ,https://azure.microsoft.com/en-in/resources/videos/
"Explore getting-started guides, SDKs, tools, code samples, and documentation.", ,https://go.microsoft.com/fwlink/p/?linkid=2202861&clcid=0x4009
"If you're using Azure in a nonproduction environment or just trying it out, choose the Developer plan to get an initial response to your Azure technical support requests within one business day."," Trial, testing, and development ",https://azure.microsoft.com/en-in/support/plans/developer/
"When you’re running a production workload on Azure, get Azure technical support initial response times between one hour and one business day, based on case severity, with the Standard plan.", Production workloads ,https://azure.microsoft.com/en-in/support/plans/standard/
"If you need faster response times, advisory services, and high-severity incident escalation management from a collaborative management pool, choose Professional Direct (ProDirect) support.", Business-critical functions ,https://azure.microsoft.com/en-in/support/plans/prodirect/
"If you need company-wide support across Azure and other Microsoft technologies, consider enterprise support.", Comprehensive Microsoft technology support ,https://go.microsoft.com/fwlink/p/?linkid=2202775&clcid=0x4009
All Azure customers have access to billing and subscription management support. Technical support is available to customers with a support plan., Create an Azure support request ,https://go.microsoft.com/fwlink/p/?linkid=2202692&clcid=0x4009
Learn about popular topics and get answers and support from Azure experts on Twitter., Tweet us @AzureSupport ,https://go.microsoft.com/fwlink/p/?linkid=2202691&clcid=0x4009
"Ask questions, get answers, and connect with Microsoft engineers and Azure community experts.", Connect with community support ,https://azure.microsoft.com/en-in/support/community/
"Track the status of your Azure services and optimize your resources using real-time dashboards, custom recommendations, and alerts.",,
"Get a personalized dashboard and alerts about Azure service issues and planned maintenance that affect your services. If you're already using Azure, log in to ", Stay informed with Azure Service Health ,https://go.microsoft.com/fwlink/p/?linkid=2202690
"Get a personalized dashboard and alerts about Azure service issues and planned maintenance that affect your services. If you're already using Azure, log in to ", Stay informed with Azure Service Health ,https://go.microsoft.com/fwlink/p/?linkid=2202690
"Get a personalized dashboard and alerts about Azure service issues and planned maintenance that affect your services. If you're already using Azure, log in to ", Stay informed with Azure Service Health ,https://go.microsoft.com/fwlink/p/?linkid=2202690
"Collect, analyze, and act on telemetry data to maximize the performance and availability of your applications by proactively identifying problems. If you’re already an Azure customer, log in to ", Get proactive with Azure Monitor ,https://go.microsoft.com/fwlink/p/?linkid=2202774
"Collect, analyze, and act on telemetry data to maximize the performance and availability of your applications by proactively identifying problems. If you’re already an Azure customer, log in to ", Get proactive with Azure Monitor ,https://go.microsoft.com/fwlink/p/?linkid=2202774
"Receive personalized recommendations and best practices to optimize your Azure resources based on analysis of your usage. For current Azure customers, log in to ", Optimize with Azure Advisor ,https://go.microsoft.com/fwlink/p/?linkid=2202689
"Receive personalized recommendations and best practices to optimize your Azure resources based on analysis of your usage. For current Azure customers, log in to ", Optimize with Azure Advisor ,https://go.microsoft.com/fwlink/p/?linkid=2202689
"Receive personalized recommendations and best practices to optimize your Azure resources based on analysis of your usage. For current Azure customers, log in to ", Optimize with Azure Advisor ,https://go.microsoft.com/fwlink/p/?linkid=2202689
Get answers to frequently asked questions about how Azure support plans work., ,https://go.microsoft.com/fwlink/p/?linkid=2202864&clcid=0x4009
"Use Microsoft cost management features to monitor, control, and optimize your Azure investment.", ,https://go.microsoft.com/fwlink/p/?linkid=2202863&clcid=0x4009
Troubleshoot issues that you may experience when you sign up for a new account in the Azure portal., ,https://go.microsoft.com/fwlink/p/?linkid=2202862&clcid=0x4009
"Explore topics in depth through guided paths, or use individual modules to accomplish a specific task.", ,https://go.microsoft.com/fwlink/p/?linkid=2202687&clcid=0x4009
Watch short demos to learn how to use different features in the Azure portal., ,https://azure.microsoft.com/en-in/resources/videos/
"Explore getting-started guides, SDKs, tools, code samples, and documentation.", ,https://go.microsoft.com/fwlink/p/?linkid=2202861&clcid=0x4009
"If you're using Azure in a nonproduction environment or just trying it out, choose the Developer plan to get an initial response to your Azure technical support requests within one business day."," Trial, testing, and development ",https://azure.microsoft.com/en-in/support/plans/developer/
"When you’re running a production workload on Azure, get Azure technical support initial response times between one hour and one business day, based on case severity, with the Standard plan.", Production workloads ,https://azure.microsoft.com/en-in/support/plans/standard/
"If you need faster response times, advisory services, and high-severity incident escalation management from a collaborative management pool, choose Professional Direct (ProDirect) support.", Business-critical functions ,https://azure.microsoft.com/en-in/support/plans/prodirect/
"If you need company-wide support across Azure and other Microsoft technologies, consider enterprise support.", Comprehensive Microsoft technology support ,https://go.microsoft.com/fwlink/p/?linkid=2202775&clcid=0x4009
All Azure customers have access to billing and subscription management support. Technical support is available to customers with a support plan., Create an Azure support request ,https://go.microsoft.com/fwlink/p/?linkid=2202692&clcid=0x4009
Learn about popular topics and get answers and support from Azure experts on Twitter., Tweet us @AzureSupport ,https://go.microsoft.com/fwlink/p/?linkid=2202691&clcid=0x4009
"Ask questions, get answers, and connect with Microsoft engineers and Azure community experts.", Connect with community support ,https://azure.microsoft.com/en-in/support/community/
"Track the status of your Azure services and optimize your resources using real-time dashboards, custom recommendations, and alerts.",,
"Get a personalized dashboard and alerts about Azure service issues and planned maintenance that affect your services. If you're already using Azure, log in to ", Stay informed with Azure Service Health ,https://go.microsoft.com/fwlink/p/?linkid=2202690
"Get a personalized dashboard and alerts about Azure service issues and planned maintenance that affect your services. If you're already using Azure, log in to ", Stay informed with Azure Service Health ,https://go.microsoft.com/fwlink/p/?linkid=2202690
"Get a personalized dashboard and alerts about Azure service issues and planned maintenance that affect your services. If you're already using Azure, log in to ", Stay informed with Azure Service Health ,https://go.microsoft.com/fwlink/p/?linkid=2202690
"Collect, analyze, and act on telemetry data to maximize the performance and availability of your applications by proactively identifying problems. If you’re already an Azure customer, log in to ", Get proactive with Azure Monitor ,https://go.microsoft.com/fwlink/p/?linkid=2202774
"Collect, analyze, and act on telemetry data to maximize the performance and availability of your applications by proactively identifying problems. If you’re already an Azure customer, log in to ", Get proactive with Azure Monitor ,https://go.microsoft.com/fwlink/p/?linkid=2202774
"Receive personalized recommendations and best practices to optimize your Azure resources based on analysis of your usage. For current Azure customers, log in to ", Optimize with Azure Advisor ,https://go.microsoft.com/fwlink/p/?linkid=2202689
"Receive personalized recommendations and best practices to optimize your Azure resources based on analysis of your usage. For current Azure customers, log in to ", Optimize with Azure Advisor ,https://go.microsoft.com/fwlink/p/?linkid=2202689
"Receive personalized recommendations and best practices to optimize your Azure resources based on analysis of your usage. For current Azure customers, log in to ", Optimize with Azure Advisor ,https://go.microsoft.com/fwlink/p/?linkid=2202689
Get answers to frequently asked questions about how Azure support plans work., ,https://go.microsoft.com/fwlink/p/?linkid=2202864&clcid=0x4009
"Use Microsoft cost management features to monitor, control, and optimize your Azure investment.", ,https://go.microsoft.com/fwlink/p/?linkid=2202863&clcid=0x4009
Troubleshoot issues that you may experience when you sign up for a new account in the Azure portal., ,https://go.microsoft.com/fwlink/p/?linkid=2202862&clcid=0x4009
"Explore topics in depth through guided paths, or use individual modules to accomplish a specific task.", ,https://go.microsoft.com/fwlink/p/?linkid=2202687&clcid=0x4009
Watch short demos to learn how to use different features in the Azure portal., ,https://azure.microsoft.com/en-in/resources/videos/
"Explore getting-started guides, SDKs, tools, code samples, and documentation.", ,https://go.microsoft.com/fwlink/p/?linkid=2202861&clcid=0x4009
"If you're using Azure in a nonproduction environment or just trying it out, choose the Developer plan to get an initial response to your Azure technical support requests within one business day."," Trial, testing, and development ",https://azure.microsoft.com/en-in/support/plans/developer/
"When you’re running a production workload on Azure, get Azure technical support initial response times between one hour and one business day, based on case severity, with the Standard plan.", Production workloads ,https://azure.microsoft.com/en-in/support/plans/standard/
"If you need faster response times, advisory services, and high-severity incident escalation management from a collaborative management pool, choose Professional Direct (ProDirect) support.", Business-critical functions ,https://azure.microsoft.com/en-in/support/plans/prodirect/
"If you need company-wide support across Azure and other Microsoft technologies, consider enterprise support.", Comprehensive Microsoft technology support ,https://go.microsoft.com/fwlink/p/?linkid=2202775&clcid=0x4009
All Azure customers have access to billing and subscription management support. Technical support is available to customers with a support plan., Create an Azure support request ,https://go.microsoft.com/fwlink/p/?linkid=2202692&clcid=0x4009
Learn about popular topics and get answers and support from Azure experts on Twitter., Tweet us @AzureSupport ,https://go.microsoft.com/fwlink/p/?linkid=2202691&clcid=0x4009
"Ask questions, get answers, and connect with Microsoft engineers and Azure community experts.", Connect with community support ,https://azure.microsoft.com/en-in/support/community/
"Track the status of your Azure services and optimize your resources using real-time dashboards, custom recommendations, and alerts.",,
"Get a personalized dashboard and alerts about Azure service issues and planned maintenance that affect your services. If you're already using Azure, log in to ", Stay informed with Azure Service Health ,https://go.microsoft.com/fwlink/p/?linkid=2202690
"Get a personalized dashboard and alerts about Azure service issues and planned maintenance that affect your services. If you're already using Azure, log in to ", Stay informed with Azure Service Health ,https://go.microsoft.com/fwlink/p/?linkid=2202690
"Get a personalized dashboard and alerts about Azure service issues and planned maintenance that affect your services. If you're already using Azure, log in to ", Stay informed with Azure Service Health ,https://go.microsoft.com/fwlink/p/?linkid=2202690
"Collect, analyze, and act on telemetry data to maximize the performance and availability of your applications by proactively identifying problems. If you’re already an Azure customer, log in to ", Get proactive with Azure Monitor ,https://go.microsoft.com/fwlink/p/?linkid=2202774
"Collect, analyze, and act on telemetry data to maximize the performance and availability of your applications by proactively identifying problems. If you’re already an Azure customer, log in to ", Get proactive with Azure Monitor ,https://go.microsoft.com/fwlink/p/?linkid=2202774
"Receive personalized recommendations and best practices to optimize your Azure resources based on analysis of your usage. For current Azure customers, log in to ", Optimize with Azure Advisor ,https://go.microsoft.com/fwlink/p/?linkid=2202689
"Receive personalized recommendations and best practices to optimize your Azure resources based on analysis of your usage. For current Azure customers, log in to ", Optimize with Azure Advisor ,https://go.microsoft.com/fwlink/p/?linkid=2202689
"Receive personalized recommendations and best practices to optimize your Azure resources based on analysis of your usage. For current Azure customers, log in to ", Optimize with Azure Advisor ,https://go.microsoft.com/fwlink/p/?linkid=2202689
Get answers to frequently asked questions about how Azure support plans work., ,https://go.microsoft.com/fwlink/p/?linkid=2202864&clcid=0x4009
"Use Microsoft cost management features to monitor, control, and optimize your Azure investment.", ,https://go.microsoft.com/fwlink/p/?linkid=2202863&clcid=0x4009
Troubleshoot issues that you may experience when you sign up for a new account in the Azure portal., ,https://go.microsoft.com/fwlink/p/?linkid=2202862&clcid=0x4009
"Explore topics in depth through guided paths, or use individual modules to accomplish a specific task.", ,https://go.microsoft.com/fwlink/p/?linkid=2202687&clcid=0x4009
Watch short demos to learn how to use different features in the Azure portal., ,https://azure.microsoft.com/en-in/resources/videos/
"Explore getting-started guides, SDKs, tools, code samples, and documentation.", ,https://go.microsoft.com/fwlink/p/?linkid=2202861&clcid=0x4009
